sample_id,customer_text,retrieved_customer_text,retrieved_brand_response,similarity
11,@AmazonHelp Thanks. Do check also why its taking more than 15 days to fix this. Can you cnfm this is not a virus issue? We must info ppl to be careful.,"@115850 : even being prime user, its taking more than 5 days for delivery. Bother to compensate? https://t.co/Kt4ZFr32qv","@119905 The delivery estimates are provided for an order depending upon various factors like item availability, shipping destination, etc. Please be assured, we'll deliver the product as per the estimates provided. ^AP",0.21730657807049264
12,@AmazonHelp Yes I received an email saying it had been successfully changed but it still won’t work. I’ve tried logging into my other account and it works fine but for some reason this one won’t work?,@AmazonHelp I deleted it and downloaded it again and it still won’t work,@277889 Have you tried using our mobile site? You can do this from a browser. Please let us know if you experience an error there as well.  ^AG,0.2310621208454875
13,"@115850 guys, bluedart is RIP in my area, I had to delegate and be the vent box for 30 pissed employees before I could get my cable, and that's when I was apologized to and assured that you will take care, GUESS WHAT? didn't happen :| why you do this fam.",@AmazonHelp Thanks and I will take care of that,@777167 You're welcome. Please keep us posted. :) ^NK,0.16311796594710193
14,@AmazonHelp Where do I find this please? It got to the point where she was so unhelpful I cancelled my prime membership,@AmazonHelp Where do I find that,@252348 When you click on the link scroll to the center of the page and the step should be available there. ^AG,0.38548361078819754
15,Como siempre al cien 👌👌 @116875 *-* https://t.co/fmALlAtxPF,Yeahhh @116875 https://t.co/kehgaaywbY,@343477 🎃💚👻 Es un buen momento para empezar a celebrar la Navidark ^VL,0.5976935779998976
16,@AmazonHelp チョコレート味だいすきです( ¯ᒡ̱¯ )و♡,@AmazonHelp Thaaaaaaaaaanks,@471968 You're most welcome! We're always happy to help! ^HS,1.0
17,Dejad de sacarme el dinero @116928 😂😂❤️ https://t.co/uJY9phF0mV,@116928  https://t.co/yKZQIYXmnf,@134789 ¡Hola Nacho! Nos alegra saber que ya recibiste tus pedidos 😊 Te recomendamos verificar la siguiente información: https://t.co/myiv2xYnjR. ¡Saludos! ^LG,0.47675202781364434
18,"Estoy muy contento con @116928 y su velocidad de envío, productos que iban a llegar mañana y el jueves me llegan hoy.

No solo hay que publicar cuando estamos disconformes, excelente trabajo! #AmazonPrime 👏🏼👏🏼","@AmazonHelp Perfecto, de momento muy contento con vuestros servicios","@495661 Nos alegra que recibieras tu pedido. Es tiempo de celebrar. 😜😉 Cuéntanos, ¿es un regalo para una persona especial o algún conocido? ^KA https://t.co/mOHMt0NuSw",0.2216895225381644
19,I can not believe how terrible @116090 has become. I will NOT be renewing #amazonprime. What a joke.,@115821 can't believe how bad your packaging and percentage of damaged shipments has become. #PleaseUsePackingMaterialsAgain #PleaseUseBoxes @115821,"@548822 Sorry to hear you've had a poor experience with the packaging. For help with your order, contact us: https://t.co/EKXRLsnxJu 1/2",0.22472908933045704
20,"@AmazonHelp Wait... you guys have it. Just that the first run of the app, asked me to enter my email/password. Found the easier way the second time.","@AmazonHelp No haven’t received any emails, that’s the second time you have asked me that",@191712 Please use the following link so we can look further into this with you: https://t.co/aPsjE2eHpc ^DO,0.2276727229730309
21,"@AmazonHelp Oui : report de la livraison à jeudi, sans motif. J’ai tenté de modifier mon lieu de livraison, bug sur le site, je rétablis mon adresse d’origine... livraison repoussée à samedi... et le service client n’est même pas en mesure de rétablir la date à jeudi 😡😡",@AmazonHelp Oui l’adresse est la mienne et oui la date de livraison est dépassée,@729889 Il s'agit d'un compte personnel ou partagé en famille ? Vous êtes la seule à avoir le mot de passe et à utiliser le compte ? ^MH,0.22300801925937766
22,@AmazonHelp It’s about 45 minutes to an hour away from me. Carrier is AMZL US,@AmazonHelp Carrier is AMZL US,@253344 Please send our team the details with this secure link: https://t.co/3kCXOTNBGg. We can make sure this is reviewed by Amazon Logistics directly.  ^EP,0.405540831152141
23,Hey @115821 ... I think a 12”x15” box for a single mechanical pencil is a bit much. https://t.co/FPjip9uUtu,@AmazonHelp this massive box for two nail varnishes is a bit much surely? 😂 https://t.co/aJBQUzsd1N,"@258297 Thanks for highlighting this to us, minimizing waste is part of our mission. You can leave this feedback directly with us via the following link:  https://t.co/fxgZ6hTrFA.^SM",0.37369570747755004
24,@AmazonHelp ペルソナ5のピアノ版サントラもオナシャス！！,@AmazonHelp Thaaaaaaaaaanks,@471968 You're most welcome! We're always happy to help! ^HS,1.0
25,"@AmazonHelp It now says Monday but up until 30 mins/ an hour ago it said tomorrow
The emails say tomorrow
When I ordered it says tomorrow
I fully understand if you’re having transport issues but I should of been made aware at checkout that next day was not an option",@AmazonHelp It says today and it says it should of been delivered already,@243052 Oh no! What is the current tracking status for the book? You can check here: https://t.co/Y5jpI9gRhE ^VF,0.1982813850332127
26,"@AmazonHelp After 2 days and hour long conversations each time with not much help from CS, we were able to log in and cancel the trial. I’ll go back to using my personal acct. this has been treacherous. I’m almost tempted to not use Amazon again to keep it from happening to me.",@AmazonHelp Not much help from @AmazonHelp either; 7 days and hasn't shipped. Underwhelmed.,"@175559 I am sorry to hear this David. Can I ask, what is the estimated delivery date given to you on the confirmation email you received when this order was placed please?^GA",0.1935304346353367
27,アマゾンプライム会員になっちゃった,"いきなり来たんだけど
なんですかこれ！！？

@120465 https://t.co/4dhaXWNqB4",@823866 当サイトからそのようなメールをお送りすることはございません。当サイトの名をかたるフィッシング行為が増えているようです。連絡先に電話をしたりしないようお気を付けください。https://t.co/k4jy2iBODo  SM,0.0
28,@AmazonHelp why can’t i get into my amazon account? It says my password is incorrect and i know it’s correct i changed it 3 times now,"@AmazonHelp My password is incorrect and when I reset it, it still shows incorrect password:( My account is 3 days old.",@672087 Oh no! Sorry to hear you're having trouble! Contact us here: https://t.co/jzvkhdlrK5 so we can look into this with you. ^AD,0.3424367008841376
29,"@AmazonHelp I ordered one device and gifted it to my friend, I have to buy one for me so I requested another invitation. it's now about a month. I didn't get any notification specifying that you are eligible to buy it or not.",@119625 @121284 I am still waiting for the invite. I want to buy one for me and one for my parents before diwali.,"@171200 We send a limited number of invitations each week to customers, so keep an eye on your inbox. ^PS",0.19005176064304335
30,Kaputt gebastelt von der IT @116316. 🤡 https://t.co/AOFCyKlFgG,@116316 ??? https://t.co/1gJWc9mTQH,@432252 Noch ist der Tag nicht vorbei ;) ^SK,0.5444363457894651
31,"@115830 ❤️ that I can buy all my Christmas shopping in one, convenient place: Amazon! and your delivery drivers ruin it by leaving my goods outside in full view for ‘collection’ by peeps walking down my street! #notgoodenough",I pretty much finished my Christmas shopping in one sitting. Thanks @115821,@263556 You are very welcome Samantha. We appreciate you and hope that have a Happy Holiday season! ^CH,0.24704155771908667
32,"@AmazonHelp Placed order yesterday for in stock item, 2 day free prime shipping. Order email came, looked at it today said delivery on the 15th. Called CS, to ask why this happen since I gave a friend the link to the item and he ordered 3 hours later and his shipped last night. 1/2","@AmazonHelp Through Amazon. When I ordered the item it said it was in stock, it currently says free prime shipping in 2-4 weeks.",@452604 Does the site indicate the item is in out of or limited in stock? Could you link us to the item you are purchasing? ^MJ,0.16044089081066454
33,@115850 charged shipping charges inspite of invoice &amp; offer mentioning zero. Please refund. https://t.co/TwsCKBGq1N,@AmazonHelp @115850 I have not got refund of the shipping charges...,@297351 Allow our support team to investigate this. You can report this here: https://t.co/R3EfhzgU8B ^CB.,0.24402709803454892
34,@115830 where's the Arrow S5 box set on prime?,@119625 please get “The Arrow” and “The Flash”.,@199832 We keep adding new content to Prime Video as we go along. Stay tuned for more! ^RS,0.31004421452385256
35,"@313536 @115821 Had I realized, I wouldn't have ordered....so yaaaaa",@AmazonHelp Yes and if I would have known it wouldn’t be here today I wouldn’t have ordered,@129590 We'd like to help! What's the current tracking and carrier shown here: https://t.co/Y5jpI9gRhE?  ^AG,0.3092942703550254
36,"@AmazonHelp Yes, everything else streams fine. Just CBS is a problem.","@AmazonHelp No everything is fine, I'm just.................eager",@354292 Understandable! I get the same way! Let us know when your order arrives. 😊 ^AB,0.29995818314737255
37,@AmazonHelp No date as it’s now out of stock with amazon so they said that it’ll either get dispatched when it’s back in stock or will be automatically cancelled if they cannot source more stock from the supplier.,"@AmazonHelp no. there was no date as it is out of stock but no one notified me. if I didn't contact you, I would never have known. not cool.",@813934 Have you received any insight on the order when speaking to customer service? Any options provided? We're here to help! ^MH,0.20206880242543804
38,@AmazonHelp Yes they are both third party sellers,@AmazonHelp Third party sellers,"@355074 (2/2) The seller will have two business days to reply. If they don't, please let us know! ^WT",0.6115312151743055
39,@122232 @115830 Maybe @AmazonHelp can help? Maybe? Anyone?,@AmazonHelp Hallowe’en leftovers maybe?,@671785 It might be! 😱👻 Let us know if we can help further ^KI,0.36199413598166374
40,"Uhm, excuse me Amazon. Why is my copy of Ultra Sun/Moon saying it'll be here on Wed??? I have Prime??? Lol fml smh.",where is my Ultra Sun and Moon???????????? amazon says its been delivered??,@743848 I'm sorry for this issue with your delivery. Please use the following Help page for info on finding a missing package: https://t.co/HHytWBxrza ^DO,0.2880000113154829
41,I’m a prime member and @115821 has been giving me SUCH a hard time with all of my orders this past month. I legit buy everything on amazon🙄,"@AmazonHelp It’s all figured out now, but thx. I’ve never had such a hard time with a gift return on @115821! Hopefully it’s the last.",@122721 Definitely. Please let us know if you need help with anything else! ^NM,0.22979976472942285
42,@115850 Got a phone with some defects.Tried for exchange but neither you provide hand2hand exchange nor u provide a spare phone. WOW☹️ https://t.co/3AQ4VHDQcV,"@AmazonHelp I ordered a phone with exchange, but the exchange does not show up in my order summary.",@740902 That's uncertain! We'd help you on this. Please contact our support team here: https://t.co/vlvfJr4nN9 and we will help you. ^BS,0.2313733776306622
43,"@115830 Interesting. So you use Black Friday as an excuse to send out shoddy goods for marketplace sellers with no right to a replacement because it was a 'special offer'? Special offer or no special offer, I am entitled to a new item at the same price, yes?",@AmazonHelp Is the Fire 7 price a special offer and if so when does it end? Thanks.,@800366 Hi! The Fire 7 is currently on sale. This is a limited time offer. ^BA,0.2014678844546108
44,@AmazonHelp Need support from amazon for either replacement of order or refund.,@AmazonHelp Need support on seller central,"@133890 Hi there!  Can you please provide us with some details on what you need help with, specifically?  ^SP",0.27539053631546
45,@AmazonHelp I bought SOW gold Edition and i receive Code for Expansion Pass but apparently not.. literally it's another standard SOW Game,@AmazonHelp i ordered gold edition of #fracturedbutwhole but looks like its the standard that's arrived? https://t.co/fkWvnReIDE,@164819 Can you contact us here: https://t.co/JzP7hlA23B? ^MC,0.2039293265715606
46,"このサービスが年間4000円って
何かチョットおかしい気がするよね

#ありがたいけど
#心配になる
#amazon",amazon studentってなんなん,"@242147 リプライ失礼いたします、Amazon公式アカウントです。
Prime Studentは、学生の方がご登録できるプライムサービスとなります。 年会費1900円で色々な特典をご用意しております。よろしければ以下リンクをご参照ください🙇 https://t.co/WUEqyfT9OW HM",1.0
47,"@AmazonHelp 45th today. 6 complaint mails, 3 calls, yet to get refund for ORDER # 171-0876267-3661905. Apparently, on 14th Oct you have lost tracking of the return shipment, in other words you lost it. &amp; Im waiting.",Hello @115850 @AmazonHelp i placed my order on 14th oct but still there is no update on it. Please help. Order : 171-2822971-3226727,@509613 Please don’t provide your order details as it is personal information. Our page is visible to the public.2/2^HN,0.19804032601203556
48,@AmazonHelp Bonjour. Je vous contact car je devais recevoir aujourd’hui deux colis (n° de suivi BH592412889FR) mais il me dit que c’est livrable maintenant entre le 29 - 4 decembre. Le pb chest que j pars en vacance le 3dec.. des infos sur la livraison? Merci...,@AmazonHelp vous avez des infos sur l’album de Joke Ultraviolet je dois le recevoir aujourd’hui mais il est toujours pas expedier,"@145896 Bonjour, je suis sincèrement désolée d'apprendre cela. Je vous invite à le signaler à notre SAV via : https://t.co/hgIrz98cdI afin de vérifier ce retard d'expédition. ^FA",0.2888607021908448
49,"@AmazonHelp It was a multi purchase, and couldn't cancel one item- had to 📱",@115821 #badcustomerexperice return an item. i had to wait for 30 minutes,@158560 I'm sorry for the trouble! Were we able to help get your item returned? ^KP,0.23421793958080106
50,@AmazonHelp すみません、Amazon prime会員なのですが「渇き。」を観たい場合はどうすれば良いですか？,@AmazonHelp すみません！グチを書いたつもりが！！💦とりあえず配達業者様と話をしておりますがまだ見つかってません。もし見つからない場合はAmazon様にご連絡したらよいでしょうか？,@182611 左様でございましたか、ご不便をおかけしております。　はい、もし配送業者とのやり取りで問題が解決しない場合、アマゾン発送の商品は以下URLよりカスタマーサービスへお問い合わせください。https://t.co/J6YEizo6qC　　SM,0.9787863346190744
51,"@116928 hola ,necesito comunicarme con ustedes para solucionar un problema técnico","@116928 
Hola
Necesito contactar con ustedes.","@682323 ¡Hola!, sin revelar datos  de tu cuenta, ¿nos podrías brindar más información para poderte ayudar?. 🙂  ^DS",0.4619981655344857
52,"Cute ad by @115821 for the Holiday season
https://t.co/9PoNhl17Uj","My first @115821 prime arrival of the holiday season showed up completely broken, not the holiday cheer I was hoping to feel :(",@769266 Oh no! I'm so sorry to hear that your package arrived broken. You can check your available options here: https://t.co/bbtIqSHgpP. Let us know if there is anything else that we can help. ^LH,0.3064343236284366
53,"@AmazonHelp Bonjour Amazon ! J'ai normalement droit à un coupon réduc de 5€ sur ma prochaine commande si je me connecte sur l'appli. J'ai téléchargé le coupon il y a qques jrs, mais je ne le vois plus aujourd'hui pour passer ma commande. Help ?!",@AmazonHelp J'attendrai que ce bureau réapparaisse pour passer ma prochaine commande. Les autres points sont trop loin. Merci.,"@215573 D'accord, je vous en prie, passez une bonne journée :)",0.2805780686519666
54,"@AmazonHelp Nein, nein. Der Ring und das Symbol mit dem Mikrofon leuchten rot. Es hat aber niemand den Knopf gedrückt.",@AmazonHelp NEIN! 👎🏻,@194202 Melde dich mal direkt bei uns im Amazon.de Social Media Team: https://t.co/br7bhrlJn8 ^SK,0.39563747414335215
55,@AmazonHelp Does not work.,@AmazonHelp Link does not work - incorect product.,@266715 Are you having trouble with the link to the Returns Center or the Packaging feedback link? ^EP,0.48761699889772864
56,"Hey, @115830.

You can deliver me a book in literally hours.
So, when I cancel my subscription to Prime, how about you actually stop automatically trying to take the money every month? It shouldn't have to be something that needs RE-doing, once already cancelled.

Stop.",@AmazonHelp can you please stop trying to take $21 out of my account when I already cancelled the purchase,"@423573 That's odd! We'd like to look into this further, Bri! When you have a moment, please reach out here: https://t.co/hApLpMlfHN ^HM",0.18333902273034325
57,"@120533 @132988 Bilan : la boîte est presque pas abîmée (le mot clé étant « presque »), juste (de quoi passer) un doigt. 👈👀
Le rembourrage papier censé empêcher la console de se balader dans le colis et protéger les coins n'était pas suffisant, il semble avoir glissé pendant le transport. 💥😢 https://t.co/UPp9zwqwOd","""Wallay le colis y rentre pas dans la boite aux lettres, np lol, j'le balance dans le jardin et osef que le machin blanc qui tombe c'est de la neige."" @120533 https://t.co/b7wkGW1DXN","@221319 Bonsoir, je suis désolée d'apprendre cela. Pourriez-vous remplir le formulaire sur le lien suivant afin que je puisse vérifier votre dossier je vous prie: https://t.co/HtUowg2UGX? ^BR",0.2066992590077491
58,"@AmazonHelp It is a movie not a TV series...OK..if someone had been watching it,would appreciate notification before content is removed midway,thanks!!",@AmazonHelp It is,@324811 I'm sorry. We're unable to access account info via twitter. Please give us a call here: https://t.co/hApLpMlfHN ^JF,0.2056947823498197
59,"@AmazonHelp My tentative idea hw much more time do u need, it’s already 9 days &amp; Amazon is asking for more &amp; more time @115851 #GreatIndianFestival",@115850 @115821 @AmazonHelp @118702 How much more time do need. Amazon is really unprofessional,@322303 You might have received an email from us. Please check here: https://t.co/8DAc10S7ww. ^HA,0.3142583011534014
60,#AmazonIndia i am unable to understand why would my package estimated for oen day delivery become a 5 day delivery episode??? I can't track,@115821 Why would my package say delivered if it’s not?,"@377121 Hi Lori, please check this page for information: https://t.co/p4rRjMsQCj ^AT",0.22971423258416632
61,@AmazonHelp 神対応、本当にありがとうございます！！,"@AmazonHelp 一人じゃ解決しなかったと思います…
とっても助かりました〜😭
本当にありがとうございます！！",@255810 お役に立ててなによりでございます☺️　今後とも、Amazonをどうぞよろしくお願いいたします！　SM,0.9999999999999998
62,"@AmazonHelp There were other typos too, hope you get a good team of QA :)","@AmazonHelp there’s some typos in there, my mistake, but you get what I’m trying to say https://t.co/lgscE0EL0g","@203003 Are you logged into the account that made the purchase? If so, does it show up here: https://t.co/Y5jpI9gRhE? ^SH",0.2485358681544485
63,"I have return an item before 17 days @115850  but the status is still showing that order has dispatch. There is no change in status. And I contacted @115850  customer care but they tell me to wait for 3-5 days repeateadly.
#what the wrong with Amazon customer care 
@115821",@AmazonHelp even that was done on Monday night. No change in status,@380783 here: https://t.co/beaaDm0muc I'll look into it right away. 2/2^AR,0.19971055320558398
64,Hello @2600 ça va ? J'ai un souci avec une commande on passe en DM ?,"@AmazonHelp Oh Ben partez pas, J’ai un souci avec une autre commande que J’ai bien reçu.","@340689 Quel est le souci rencontré avec la commande reçue je vous prie ? .
^KE",0.39045411107145805
65,"Amazon商品誤配送で人生初返品手続き。
ふざけやがって","いきなり来たんだけど
なんですかこれ！！？

@120465 https://t.co/4dhaXWNqB4",@823866 当サイトからそのようなメールをお送りすることはございません。当サイトの名をかたるフィッシング行為が増えているようです。連絡先に電話をしたりしないようお気を付けください。https://t.co/k4jy2iBODo  SM,0.0
66,@AmazonHelp Amazes me how when I ask politely and try to have a normal dialog it doesn't work but the moment I raise my voice I get a response straight away.I simply wanted to know what your complaint process https://t.co/DClluX8d3Q to log it and when to expect resolution.,"@AmazonHelp When I try to log in, the same reinstate message","@665654 Sorry about that. On the link provided, you should see an option in blue to skip sign. Click there and send us your details. ^VS",0.16526573570433323
67,"@115850 I ordered a book called ""The Baker In The World'. It was suppose to arrive today. Later got a text saying couldn't arrive due to no payment. BUT NOBODY CAME HOME FIRSTLY TO DELIVER? WHY THIS TORTURE??",@AmazonHelp It has not arrived yet. It was suppose to arrive today by 8pm.,@164623 I understand your frustration. Have we sent any notification of a possible delay? Who is the carrier assigned to your package? We'd be happy to assist in any way possible. ^SK,0.24266511116437173
68,"@AmazonHelp Can you remove my email address from order #204-1416984-2493927 and that person's associated Amazon UK account? It's an elderly man who gives people/companies my email address all the time, and I'm having a hard time stopping him.",@AmazonHelp Order# 171-9509195-0411533. My email address:- __email__,"@406215 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2^SC",0.22115247156406584
69,"99.9% of the time, being a Prime @115821 member is great. But don't ""guaranteed delivery"" on a certain date, and show ""arriving by 8pm today"" when the ORDER HASN'T EVEN FUCKING SHIPPED YET.","@AmazonHelp No it still says ""arriving by 8pm today"". No change.",@143020 I'm sorry for the delay! Delayed packages typically arrive the next business day by 8 PM. Please keep us posted on its arrival. We want to make sure you get it. ^JM,0.21111699386143157
70,Got sent this @115830 Black Friday deal earlier. It said there were 9 hours left so waited until I was home from work but the price has gone up to £211!!! Is this allowed?! #BlackFridayDeals @118374 https://t.co/eJKn7ziKaq,@AmazonHelp @115821 @AmazonHelp is this product on auction? MRP is still 138 but price gone up to 160 from 150 https://t.co/Mqic4lyyIn,@625770 I get you being upset and I'm sorry about the stretch. This should be rectified at the earliest. ^MP,0.18866820126472747
71,"@AmazonHelp UK consumer law states under distance selling rules I’m entitled to FULL refund of payment, returns costs if item is faulty! Just coz his registered office is in Jersey &amp; dispatches from Netherlands doesn’t mean he or amazon can circumvent my rights!",@AmazonHelp yes. not able to communicate. item is not fit for purpose so under UK consumer law i am entitled to a refund,@192393 Hi Gareth- Have you requested a return for refund via the above link provided? ^NV,0.25789913529477604
72,なぜかKindleダウンロードできなくなった,"いきなり来たんだけど
なんですかこれ！！？

@120465 https://t.co/4dhaXWNqB4",@823866 当サイトからそのようなメールをお送りすることはございません。当サイトの名をかたるフィッシング行為が増えているようです。連絡先に電話をしたりしないようお気を付けください。https://t.co/k4jy2iBODo  SM,0.0
73,@AmazonHelp Just to reply this you took one hour,@AmazonHelp How to reply,@143382 You can reply from your registered email ID with Amazon account on which we've sent a correspondence. ^SC,0.2709144319648443
74,"@AmazonHelp but to me that I was charged the same day and never received a refund of the purchase .. in conjunction with the 3 times I have called have not helped me and assist me in an unprofessional way, I do not think that is what which represents the company, please help me",@AmazonHelp DM you an issue. Please check it and assist me with that.,@658237 We have responded to you DM. Kindly check. ^SS,0.18146720550873452
75,"@AmazonHelp Yes, other commands are working fine","@AmazonHelp Yes it's working fine, thanks!",@174520 You're welcome. Keep us posted for any further assistance. ^SD,0.45744698572254844
76,@AmazonHelp Yea I did .. sadly the same bug always!!,@AmazonHelp Yea,@321026 Sorry for the inconvenience. Please drop in your details here: https://t.co/beaaDm0muc I'll look into this for you. ^ST,0.54010276336166
77,"@AmazonHelp They refunded me the $5.99 for shipping, and the guy apologized and said that it would be here today, and I checked the tracking and it hasn’t even left the facility, and says it’ll be here by tomorrow.","@AmazonHelp Ugh, I REALLY need this item delivered today as scheduled, but it hasn't even left carrier facility! No way it'll be here by 8pm","@272836 I'm sorry it hasn't shipped! Since this is urgent, please reach us here: https://t.co/hApLpMlfHN, so we can look into it. ^NS",0.26776381607085314
78,@AmazonHelp El producto es vendido x amazon el dia 15 d este mes y ademas d llegar con días d retraso ni siquiera va a la dirección correcta!,@AmazonHelp El producto aparecía bajo el renglón Prime,@228159 ¿Has recibido algún correo electrónico informando la razón del retraso con la entrega de tu pedido? ^FZ,0.28339829660089594
79,"Half of my ‘Kindle’ screen has gone, I am 1/4 way through a book, what can I do??
@115830 ??",@AmazonHelp what I can do.,@162506 Sorry about the confusion. Please share your details here: https://t.co/GIJyeYqKE0 and we'll help you with this. ^SQ,0.31652345463205744
80,@12154 @115850 Will the new TV show be available to Prime users in the US? or is this India only?,@119625 @12154 Is this available in the US?,"@344187 The content is geo-location specific, you will only be able to view this in India. ^SQ",0.2878627758313755
81,Not sure how having my @115830 delivery being dumped behind a bin constitutes being handed to resident? Last time I checked I don’t live in a bin or pay for #AmazonPrime for this. Wasted time knocking on neighbours doors looking for it as well. 😡,@115821 order number Q22603246803 is shown as being handed to resident last night but it wasn’t and I was in all night,"@393752 I'm so sorry to hear this, Andrew! We'd like to take a closer look into this with you here: https://t.co/JzP7hlA23B ^HC",0.22292710710181032
82,"Hi @115821, this is the third day in a row that I have received this message, I know Texas is big but seriously how hard is it to deliver 2 car stickers? My Prime membership is feeling pretty laughable at this point. https://t.co/xV1Jybwfr0",@AmazonHelp This is just insulting at this point https://t.co/zCNNybywGD,@157760 I completely understand your frustration! Please let us know if you don't receive your order on Saturday by 8 PM. ^TN,0.28780457739005166
83,"@116090 
I have a $300 order pending but for some reason you
say my credit card “doesn’t” match?? Strange it’s being accepted everywhere else with a very high
CRedit Limit. I spent 3hrs taking advantage of Cyber D
Help by giving me a no. to call or the Bezos phone no.",Stop taking advantage of me @115821,@213986 Hello - can you tell us about what's going on without posting order or account information? ^DO,0.2064021553006822
84,"@AmazonHelp @130687 Por suerte para mi, no para el planeta, los 8kg y medio de papel de burbujas han hecho su trabajo. Tengo pasatiempos para rato. Pop.","@AmazonHelp Por suerte, vino hace un rato jajaja volvemos a Defcon 5",@787653 🤗,0.22495173073950359
85,@AmazonHelp Thanks for your  cooperation,@AmazonHelp ok thanks sir for your cooperation,"@266920 You're welcome, Hardik. Let us know how things go. ^MP",0.5929032499879202
86,@115850 @AmazonHelp What is use of prime membership  when no support from yu regarding shipment updating and cancelling order...,"@AmazonHelp No use of prime membership, return my money","@119791 Could you please confirm, if we've missed the estimated delivery date? ^AG",0.2924701983659721
87,@AmazonHelp detail already provided to u in ur earlier same fix reply.,@AmazonHelp Detail s shared,"@174515 We've sent a correspondence to your registered email address, request you to check the same. ^SH",0.43976567781862086
88,@AmazonHelp still my refund not credited. yesterday is the refund date but no credit. and i ask yesterday customare care they are told me go to nearest bank and tell the  reference number he will help you. what is this sir all your side misstake but all problem handle me only.. very bad sry?,@AmazonHelp Still refund amt is not credited 😐 #AmazonGreatIndianFestival,@360575 I'm sorry for the inconvenience. Please contact our support team here: https://t.co/TdDksLo6Mf and we'll look into this. ^MK,0.16018302581815502
89,"@115830 about the purpose of the toys: if you want to completely distract the child from music, buy a baby piano with a bad sound without the ability to connect to high-quality acoustics, without the possibility to turn on the library of sounds ... (about toys)? https://t.co/hXnFOlHiUx",@AmazonHelp And I don't want an invoice. I want to give the recipient the ability to return the gift without knowing how much I paid.,"@698684 A gift receipt is not required to return a gift. The gift recipient can use the tracking number found on the order packaging and contact our customer service team via phone or chat. Was there a packing slip with the order? If so, it may contain the order number. ^JS",0.15750831395682235
90,@AmazonHelp I have the email.,@AmazonHelp I have.,@772568 Thanks for the heads up. We will check the details and will get back to you with an update soon. Please keep an eye on your mail box. ^SD,0.49669382208736484
91,@AmazonHelp Will you refund courier chatges if i send it back?,@AmazonHelp And who will refund me if i send it back by post,@190898 Please connect with our support team here: https://t.co/TdDksLo6Mf and we'll look into this. ^HD,0.38389519651035586
