sample_id,customer_text,brand_response,suggested_intent,suggested_escalate,human_intent,human_escalate,human_notes
47,"@AmazonHelp 45th today. 6 complaint mails, 3 calls, yet to get refund for ORDER # 171-0876267-3661905. Apparently, on 14th Oct you have lost tracking of the return shipment, in other words you lost it. &amp; Im waiting.","@466770 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. (2/2) ^SD",order_delivery,False,returns_refunds,True,
48,@AmazonHelp Bonjour. Je vous contact car je devais recevoir aujourd’hui deux colis (n° de suivi BH592412889FR) mais il me dit que c’est livrable maintenant entre le 29 - 4 decembre. Le pb chest que j pars en vacance le 3dec.. des infos sur la livraison? Merci...,"@817323 Bonsoir Jeremy, navrée d'apprendre cela. S'agit-il d'une commande expédiée par Amazon ou par un vendeur tiers ?",other_non_actionable,False,order_delivery,False,
49,"@AmazonHelp It was a multi purchase, and couldn't cancel one item- had to 📱",@219633 Did they advise you to return the item? ^JJ,other_non_actionable,False,product_order_issue,False,
50,@AmazonHelp すみません、Amazon prime会員なのですが「渇き。」を観たい場合はどうすれば良いですか？,"@761536 こちらの作品でしょうか。https://t.co/0PCshUnB1r
こちらはプライム・ビデオ対象作品ではなく、有料レンタルで視聴いただけるコンテンツです。こちらのヘルプページをご参照ください。https://t.co/qBKyVQ6wJs RI",subscription_prime,False,subscription_prime,False,
51,"@116928 hola ,necesito comunicarme con ustedes para solucionar un problema técnico","@720876 Hola Ischis, ¿podrías comentarnos más sobre lo que ha ocurrido sin publicar detalles de tu cuenta? ^DA",other_non_actionable,False,device_technical,False,
52,"Cute ad by @115821 for the Holiday season
https://t.co/9PoNhl17Uj",@431962 Glad you liked it Helene and I hope it gave you a little holiday cheer! 🎅🏻🎄🎁 ^KK,other_non_actionable,False,other_non_actionable,False,
53,"@AmazonHelp Bonjour Amazon ! J'ai normalement droit à un coupon réduc de 5€ sur ma prochaine commande si je me connecte sur l'appli. J'ai téléchargé le coupon il y a qques jrs, mais je ne le vois plus aujourd'hui pour passer ma commande. Help ?!","@145871 Bonjour, n'ayant pas accès à votre compte Amazon depuis Twitter vous pouvez contacter notre service client via le lien suivant : https://t.co/qzuu0dgDXz ^ME",device_technical,False,payment_billing,False,
54,"@AmazonHelp Nein, nein. Der Ring und das Symbol mit dem Mikrofon leuchten rot. Es hat aber niemand den Knopf gedrückt.","@404271 Klingt wirklich seltsam. Meld dich bitte, wie von ^DW geschrieben, bitte mal unter o.g. Link bei unseren Spezialisten. ^MF",other_non_actionable,False,device_technical,False,
55,@AmazonHelp Does not work.,@335710 You can find the available return and refund options here: https://t.co/nOBjqe1UZr ^SB,other_non_actionable,False,device_technical,False,
56,"Hey, @115830.

You can deliver me a book in literally hours.
So, when I cancel my subscription to Prime, how about you actually stop automatically trying to take the money every month? It shouldn't have to be something that needs RE-doing, once already cancelled.

Stop.",@237830 I'm sorry you're seeing another charge! Does the subscription show as canceled here: https://t.co/DFK57gHLgE ? ^DD,subscription_prime,False,subscription_prime,False,
57,"@120533 @132988 Bilan : la boîte est presque pas abîmée (le mot clé étant « presque »), juste (de quoi passer) un doigt. 👈👀
Le rembourrage papier censé empêcher la console de se balader dans le colis et protéger les coins n'était pas suffisant, il semble avoir glissé pendant le transport. 💥😢 https://t.co/UPp9zwqwOd","@530472 Bonjour, je suis désolée pour cela😓
Vous avez la possibilité d'évaluer l'emballage via: https://t.co/Kfvpoov9cD  ^FT",other_non_actionable,False,product_order_issue,False,
58,"@AmazonHelp It is a movie not a TV series...OK..if someone had been watching it,would appreciate notification before content is removed midway,thanks!!","@715655 We apologize for the inconvenience. Could you please tell us the name of the movie, so that we can look into it right away. ^RD",digital_content,False,digital_content,False,
59,"@AmazonHelp My tentative idea hw much more time do u need, it’s already 9 days &amp; Amazon is asking for more &amp; more time @115851 #GreatIndianFestival",@171591 We value your time. We will ensure to close the issue at the earliest. ^CB,other_non_actionable,False,customer_service_complaint,False,
60,#AmazonIndia i am unable to understand why would my package estimated for oen day delivery become a 5 day delivery episode??? I can't track,"@442180 Delivery estimates are based on multiple criteria. Visit this link: https://t.co/UCTZrHJf7I to know more. Also, please ^PB 1/2",order_delivery,False,order_delivery,False,
61,@AmazonHelp 神対応、本当にありがとうございます！！,@225814 とんでもないです。よろしくお願いします。 EK,other_non_actionable,False,other_non_actionable,False,
62,"@AmazonHelp There were other typos too, hope you get a good team of QA :)","@661266 Thank you for flagging the errors. As mentioned earlier, we've forwarded the details internally for a review. ^BV",other_non_actionable,False,other_non_actionable,False,
63,"I have return an item before 17 days @115850  but the status is still showing that order has dispatch. There is no change in status. And I contacted @115850  customer care but they tell me to wait for 3-5 days repeateadly.
#what the wrong with Amazon customer care 
@115821","@344626 Apologies for the issue with return pick up, please share your details here: https://t.co/U3J5c5u7YE we'll look into this for you. ^SU",returns_refunds,False,returns_refunds,True,
64,Hello @2600 ça va ? J'ai un souci avec une commande on passe en DM ?,"@793001 Bonsoir, je vous invite à initier la conversation en DM. ^MA",other_non_actionable,False,customer_service_complaint,False,
65,"Amazon商品誤配送で人生初返品手続き。
ふざけやがって",@277893 Amazonです。誤配送だったとのことで大変ご迷惑をおかけしております。お忙しいところお手数をおかけし申し訳ございませんが、返品のお手続きを何卒お願いいたします。SK,other_non_actionable,False,returns_refunds,False,
66,@AmazonHelp Amazes me how when I ask politely and try to have a normal dialog it doesn't work but the moment I raise my voice I get a response straight away.I simply wanted to know what your complaint process https://t.co/DClluX8d3Q to log it and when to expect resolution.,@227673 Again we are sorry for the frustration of this delivery. You can provide the details here to have our specialist look into the details:   https://t.co/YCN9JCouFe ^DJ,other_non_actionable,False,customer_service_complaint,False,
67,"@115850 I ordered a book called ""The Baker In The World'. It was suppose to arrive today. Later got a text saying couldn't arrive due to no payment. BUT NOBODY CAME HOME FIRSTLY TO DELIVER? WHY THIS TORTURE??","@131793 Sorry to know your order isn't delivered. We'd like to check your order status, please connect with our support team here: https://t.co/vlvfJr4nN9. ^NR",order_delivery,False,order_delivery,False,
68,"@AmazonHelp Can you remove my email address from order #204-1416984-2493927 and that person's associated Amazon UK account? It's an elderly man who gives people/companies my email address all the time, and I'm having a hard time stopping him.",@135825 Hello! This is an issue that requires accessing the account. We are unable to access any account via Twitter. Please contact us by phone or chat here: https://t.co/JzP7hlA23B Let us know if you need anything else! ^DA,order_delivery,False,account_security,True,
69,"99.9% of the time, being a Prime @115821 member is great. But don't ""guaranteed delivery"" on a certain date, and show ""arriving by 8pm today"" when the ORDER HASN'T EVEN FUCKING SHIPPED YET.","@277308 I'm sorry for the poor communication. If it doesn't arrive as promised, or for direct assistance, please reach us via phone or chat here: https://t.co/hApLpMlfHN ^JR",order_delivery,False,order_delivery,False,
70,Got sent this @115830 Black Friday deal earlier. It said there were 9 hours left so waited until I was home from work but the price has gone up to £211!!! Is this allowed?! #BlackFridayDeals @118374 https://t.co/eJKn7ziKaq,"@155505 I'm sorry for the trouble. Lightning Deals end when either the time has expired, or when all the items have been claimed. Learn more here: https://t.co/CceVJyhJ2O ^JM",other_non_actionable,False,payment_billing,False,
71,"@AmazonHelp UK consumer law states under distance selling rules I’m entitled to FULL refund of payment, returns costs if item is faulty! Just coz his registered office is in Jersey &amp; dispatches from Netherlands doesn’t mean he or amazon can circumvent my rights!",@262728 It would be best to reach out to us directly here: https://t.co/JzP7hlA23B and we can look into this further. ^PK,returns_refunds,False,returns_refunds,False,
72,なぜかKindleダウンロードできなくなった,@264059 失礼いたします、Amazon公式ヘルプアカウントです。　ご不便をおかけしております。Kindle本がダウンロードできないとのことでしょうか。よろしければ、ご利用環境やエラーの詳細をお伺いできますでしょうか？　SM,digital_content,False,digital_content,False,
73,@AmazonHelp Just to reply this you took one hour,"@216204 Please be assured, we are working on resolving the issue at the earliest. ^GS",other_non_actionable,False,customer_service_complaint,False,
74,"@AmazonHelp but to me that I was charged the same day and never received a refund of the purchase .. in conjunction with the 3 times I have called have not helped me and assist me in an unprofessional way, I do not think that is what which represents the company, please help me","@330901 Once an order ships, we charge the card for the order!  If it has not shipped, you may see an authorization. You can also respond to the e-mail sent at the end of your call which will send feedback directly to an agents' supervisor. ^DD",payment_billing,True,payment_billing,True,
75,"@AmazonHelp Yes, other commands are working fine","@273029 Thanks again!  For clarification, which Alexa-enabled device are you experiencing this on? ^AZ",other_non_actionable,False,device_technical,False,
76,@AmazonHelp Yea I did .. sadly the same bug always!!,"@214639 In that case, kindly connect with us here: https://t.co/vlvfJrlYEH and we'll get this checked for you. ^PB",other_non_actionable,False,device_technical,False,
77,"@AmazonHelp They refunded me the $5.99 for shipping, and the guy apologized and said that it would be here today, and I checked the tracking and it hasn’t even left the facility, and says it’ll be here by tomorrow.","@782575 Oh, no! I know how frustrating it can be when your package doesn't arrive when you expect it to. We want to ensure this arrives, so please keep us posted on the delivery. ^DG",order_delivery,False,order_delivery,False,
78,@AmazonHelp El producto es vendido x amazon el dia 15 d este mes y ademas d llegar con días d retraso ni siquiera va a la dirección correcta!,"@775970 Comprendo, Cheno. Para lograr revisar mejor la situación, te recomendamos que contactes directamente a nuestro departamento de Servicio al Cliente en el siguiente enlace: https://t.co/OjvUxwnzPe. ^AA",other_non_actionable,False,order_delivery,False,
79,"Half of my ‘Kindle’ screen has gone, I am 1/4 way through a book, what can I do??
@115830 ??",@226937 Hi Jim! Did you try the following steps:https://t.co/OKHJtlutp2.^CN,digital_content,False,device_technical,False,
80,@12154 @115850 Will the new TV show be available to Prime users in the US? or is this India only?,"@286368 We have not made an announcement yet, Aditya. Please stay tuned for an update on this. ^KS",subscription_prime,False,subscription_prime,False,
81,Not sure how having my @115830 delivery being dumped behind a bin constitutes being handed to resident? Last time I checked I don’t live in a bin or pay for #AmazonPrime for this. Wasted time knocking on neighbours doors looking for it as well. 😡,@696263 I'm sorry to hear you had to search for your parcel! We would like to record your feedback with you. Please reach us via phone or chat here: https://t.co/qy3J24VGxb ^JS,subscription_prime,False,order_delivery,False,
82,"Hi @115821, this is the third day in a row that I have received this message, I know Texas is big but seriously how hard is it to deliver 2 car stickers? My Prime membership is feeling pretty laughable at this point. https://t.co/xV1Jybwfr0","@120177 I am sorry to hear that, Aletta. What notifications do you get on the previous days the order was meant to be delivered? ^SM",subscription_prime,False,order_delivery,False,
83,"@116090 
I have a $300 order pending but for some reason you
say my credit card “doesn’t” match?? Strange it’s being accepted everywhere else with a very high
CRedit Limit. I spent 3hrs taking advantage of Cyber D
Help by giving me a no. to call or the Bezos phone no.","@386786 We're unable to access your account via Twitter, Patricia. At your convenience, contact us via phone or chat here: https://t.co/Q7Ftz6nj80 We'd be happy to assist with your order in real-time. ^SK",payment_billing,True,payment_billing,True,
84,"@AmazonHelp @130687 Por suerte para mi, no para el planeta, los 8kg y medio de papel de burbujas han hecho su trabajo. Tengo pasatiempos para rato. Pop.","@281025 Hola Sampru, nuevamente lamentamos todo inconveniente. Puedes entrar al siguiente enlace para poder dar valoración del embalaje: https://t.co/3GGTpWUi3j ^FZ",device_technical,True,product_order_issue,False,
85,@AmazonHelp Thanks for your  cooperation,@401820 We're glad to be of assistance to you. Please do keep us posted for any further queries. ^GS,other_non_actionable,False,other_non_actionable,False,
86,@115850 @AmazonHelp What is use of prime membership  when no support from yu regarding shipment updating and cancelling order...,@274554 I'm sorry to know the order has been canceled. I'd like to know what went wrong and assist you with it. Please share your details here: https://t.co/COKQVOEcoK and I'll get back to you.,subscription_prime,False,subscription_prime,False,
87,@AmazonHelp detail already provided to u in ur earlier same fix reply.,"@343710 As you've shared your details, we'll work on it and get back to you at the earliest. ^HN",other_non_actionable,False,other_non_actionable,False,
88,@AmazonHelp still my refund not credited. yesterday is the refund date but no credit. and i ask yesterday customare care they are told me go to nearest bank and tell the  reference number he will help you. what is this sir all your side misstake but all problem handle me only.. very bad sry?,"@119214 Apologies for the hassle. Please contact your bank customer service and dispute the transaction as 'refund not processed'. At that time, they will see a pending refund and will follow the path back to our payment processor to locate the refund.  ^SC",returns_refunds,False,returns_refunds,False,
89,"@115830 about the purpose of the toys: if you want to completely distract the child from music, buy a baby piano with a bad sound without the ability to connect to high-quality acoustics, without the possibility to turn on the library of sounds ... (about toys)? https://t.co/hXnFOlHiUx","@204573 Hello! We'd like to assist! Just to confirm, is the order you received not matching the description of what is listed on our website? ^TE",digital_content,False,product_order_issue,False,
90,@AmazonHelp I have the email.,@407433 Can you provided us with the seller? You can find that information here: https://t.co/Y5jpI9gRhE ^LS,other_non_actionable,False,other_non_actionable,False,
91,@AmazonHelp Will you refund courier chatges if i send it back?,@812637 I understand your concern. Kindly refer: https://t.co/ZaHwlU3hja for information regarding the refund of return shipping charges. ^MO,returns_refunds,False,returns_refunds,False,
92,"@120533 c’est ça votre emballage cadeau à 2,99€ ? Vous avez régressé sérieux 3€ pour un truc que je vais devoir refaire parce qu’il est moche et transparent, c’est du papier carton pour chaussures vous déconnez !!!?! https://t.co/igr56f7y4U","@132735 Bonjour, je suis désolé pour cela 😔 Sachez que vous pouvez soumettre une évaluation sur l'emballage via le lien suivant : https://t.co/yPgAjacwyh
Vous pouvez aussi le signaler à notre SAV via : https://t.co/hgIrz98cdI",other_non_actionable,False,product_order_issue,False,
93,アマゾンプライムにコウノドリの１期があったので流し見しよ～と思ったけど号泣しまくりでつらい朝,@533015 プライム・ビデオのご利用ありがとうございます。お腹の赤ちゃんと一緒に素敵な一日になりますように！SK,other_non_actionable,False,other_non_actionable,False,
94,"@AmazonHelp Initially amazon sent me a totally wrong item 

I raised a request for exchange, But in exchange, again they sent me wrong item 
First you sent me some other shoes and in exchange you sent me a shoes of different size.

This is really annoying","@143735 Certainly not the kind of experience we'd want you to have, Prithu. Could you please confirm, submitting your details using the link shared earlier? ^MK",product_order_issue,False,product_order_issue,False,
95,@AmazonHelp No se donde está,"@450796 Ramon, por este medio no contamos con acceso a tu cuenta. ¿Es gestionado por Amazon o por un vendedor externo? ^DA",other_non_actionable,False,order_delivery,False,
96,@AmazonHelp immer noch nichts ... was würde bushido tun?,@524526 Kannst dich gerne zur Prüfung hier melden: https://t.co/bZ6Syvy6b9 Würde Bushido bestimmt auch tun ;) Gruß ^TA,other_non_actionable,False,other_non_actionable,False,
97,@AmazonHelp I tried getting a call back...twice...it did not connect...there seems to be a problem...,"@171644 That's strange, Ashwin. In that case, request you to reach out to us through an email or chat for further assistance. ^NK",other_non_actionable,False,customer_service_complaint,False,
98,@AmazonHelp This was the last update before I called amazon customer service today and that's when I found out it was lost.  I would of appreciated being notified of a lost or missing package instead of waiting for a package that was never coming. https://t.co/4lK4C9GKm3,@744264 I understand where you're coming from and I'm sorry we let you down. Were we able to provide any options or information for you due to the loss of this package? We want to make sure you get taken care of! ^KJ,device_technical,False,order_delivery,False,
99,"@AmazonHelp I've been a loyal prime customer for years. Currently, I'm being given the run-around on the return of a $700 cookware set. I would really appreciate some help, as I'm furious at your customer service.","@230467 Hi, I am sorry to hear this. We can't view your account details on Twitter. Can you tell us a bit more about what you have been advised when you spoke with Customer Service? Was this item sold by Amazon or a seller?^BZ",returns_refunds,False,returns_refunds,False,
100,Hey @115850 - I keep getting this error on Amazon Now everytime I add a product to my cart. https://t.co/QM5yATrrJZ,@548829 I'm sorry about this. Kindly report this to our support team through the app and we'll be happy to assist. ^SH,other_non_actionable,False,device_technical,False,
101,"@AmazonHelp Se que son una excelente empresa, pero les falla en esto, en estas fechas es mejor o deshabilitar la opción de un día o de plano agregar una nota de que el pedido puede no llegar en la fecha promesa por la sobredemanda","@366347 ¡Hola, Dani! Lamento mucho los inconvenientes ¿ Tu pedido es vendido y gestionado por Amazon o es vendido por un vendedor externo? ^DS",other_non_actionable,False,order_delivery,False,
102,"@115850  My Keyboard  cover ( ORDER # 405-9026240-1774718)  had been delivered on 28th Sept. 2017. Since the product was undersized, I sent online request for return on 3rd Oct. 2017. NO ACTION HAD BEEN TAKEN . While tracking I found that Return window closed on 09-Oct-2017 !!!","@366442 Please don't provide your order details, as we consider it to be personal information. Our page is visible to the public. 3/3 ^PS",order_delivery,False,returns_refunds,False,
